date,how to delete gmail
2011-01-01,42
2011-02-01,41
2011-03-01,43
2011-04-01,48
2011-05-01,46
2011-06-01,51
2011-07-01,59
2011-08-01,54
2011-09-01,55
2011-10-01,53
2011-11-01,55
2011-12-01,62
2012-01-01,62
2012-02-01,51
2012-03-01,48
2012-04-01,52
2012-05-01,49
2012-06-01,58
2012-07-01,61
2012-08-01,65
2012-09-01,63
2012-10-01,59
2012-11-01,58
2012-12-01,68
2013-01-01,69
2013-02-01,69
2013-03-01,69
2013-04-01,73
2013-05-01,72
2013-06-01,77
2013-07-01,80
2013-08-01,82
2013-09-01,79
2013-10-01,77
2013-11-01,77
2013-12-01,88
2014-01-01,97
2014-02-01,93
2014-03-01,91
2014-04-01,88
2014-05-01,88
2014-06-01,88
2014-07-01,92
2014-08-01,97
2014-09-01,98
2014-10-01,89
2014-11-01,91
2014-12-01,86
2015-01-01,89
2015-02-01,80
2015-03-01,81
2015-04-01,84
2015-05-01,82
2015-06-01,87
2015-07-01,89
2015-08-01,92
2015-09-01,91
2015-10-01,84
2015-11-01,82
2015-12-01,88
2016-01-01,94
2016-02-01,87
2016-03-01,87
2016-04-01,83
2016-05-01,86
2016-06-01,89
2016-07-01,95
2016-08-01,95
2016-09-01,93
2016-10-01,92
2016-11-01,90
2016-12-01,98
2017-01-01,100
