date,how to delete youtube
2011-01-01,45
2011-02-01,45
2011-03-01,48
2011-04-01,49
2011-05-01,47
2011-06-01,65
2011-07-01,72
2011-08-01,75
2011-09-01,65
2011-10-01,67
2011-11-01,70
2011-12-01,95
2012-01-01,85
2012-02-01,78
2012-03-01,76
2012-04-01,78
2012-05-01,72
2012-06-01,76
2012-07-01,87
2012-08-01,84
2012-09-01,77
2012-10-01,77
2012-11-01,81
2012-12-01,96
2013-01-01,91
2013-02-01,89
2013-03-01,87
2013-04-01,85
2013-05-01,88
2013-06-01,90
2013-07-01,97
2013-08-01,100
2013-09-01,86
2013-10-01,79
2013-11-01,80
2013-12-01,86
2014-01-01,90
2014-02-01,80
2014-03-01,84
2014-04-01,81
2014-05-01,79
2014-06-01,81
2014-07-01,94
2014-08-01,99
2014-09-01,88
2014-10-01,83
2014-11-01,86
2014-12-01,93
2015-01-01,92
2015-02-01,81
2015-03-01,80
2015-04-01,82
2015-05-01,81
2015-06-01,84
2015-07-01,90
2015-08-01,90
2015-09-01,77
2015-10-01,73
2015-11-01,72
2015-12-01,82
2016-01-01,81
2016-02-01,73
2016-03-01,71
2016-04-01,71
2016-05-01,71
2016-06-01,72
2016-07-01,76
2016-08-01,75
2016-09-01,73
2016-10-01,70
2016-11-01,69
2016-12-01,79
2017-01-01,80
