date,how to permanently delete google account,how to delete a google account
2011-01-01,3,25
2011-02-01,4,26
2011-03-01,3,33
2011-04-01,4,26
2011-05-01,7,36
2011-06-01,6,43
2011-07-01,9,58
2011-08-01,6,46
2011-09-01,11,50
2011-10-01,6,53
2011-11-01,5,47
2011-12-01,7,55
2012-01-01,13,52
2012-02-01,9,44
2012-03-01,7,45
2012-04-01,10,49
2012-05-01,7,46
2012-06-01,8,47
2012-07-01,8,55
2012-08-01,6,65
2012-09-01,8,49
2012-10-01,7,43
2012-11-01,4,48
2012-12-01,7,54
2013-01-01,8,58
2013-02-01,8,58
2013-03-01,8,57
2013-04-01,8,62
2013-05-01,10,64
2013-06-01,7,72
2013-07-01,9,75
2013-08-01,11,82
2013-09-01,9,68
2013-10-01,12,75
2013-11-01,10,73
2013-12-01,10,83
2014-01-01,14,92
2014-02-01,13,86
2014-03-01,9,82
2014-04-01,7,82
2014-05-01,7,83
2014-06-01,12,77
2014-07-01,11,91
2014-08-01,10,92
2014-09-01,10,81
2014-10-01,9,78
2014-11-01,9,77
2014-12-01,11,74
2015-01-01,11,74
2015-02-01,10,67
2015-03-01,10,73
2015-04-01,10,71
2015-05-01,10,71
2015-06-01,8,76
2015-07-01,13,84
2015-08-01,9,88
2015-09-01,9,77
2015-10-01,9,75
2015-11-01,8,75
2015-12-01,10,76
2016-01-01,11,85
2016-02-01,9,83
2016-03-01,12,72
2016-04-01,9,71
2016-05-01,10,76
2016-06-01,12,80
2016-07-01,13,100
2016-08-01,15,100
2016-09-01,11,79
2016-10-01,12,85
2016-11-01,11,75
2016-12-01,15,94
2017-01-01,13,92
