date,How to close a google account,how to delete a google account
2011-01-01,3,29
2011-02-01,3,29
2011-03-01,5,29
2011-04-01,6,30
2011-05-01,8,39
2011-06-01,6,50
2011-07-01,6,56
2011-08-01,7,48
2011-09-01,4,57
2011-10-01,6,53
2011-11-01,7,53
2011-12-01,6,54
2012-01-01,8,55
2012-02-01,6,46
2012-03-01,6,40
2012-04-01,6,47
2012-05-01,6,44
2012-06-01,5,48
2012-07-01,7,56
2012-08-01,5,67
2012-09-01,3,55
2012-10-01,6,44
2012-11-01,5,47
2012-12-01,7,50
2013-01-01,6,62
2013-02-01,5,57
2013-03-01,6,53
2013-04-01,7,54
2013-05-01,7,65
2013-06-01,8,69
2013-07-01,8,80
2013-08-01,7,84
2013-09-01,8,72
2013-10-01,6,75
2013-11-01,6,69
2013-12-01,8,88
2014-01-01,11,92
2014-02-01,6,86
2014-03-01,6,83
2014-04-01,6,78
2014-05-01,8,80
2014-06-01,6,77
2014-07-01,8,96
2014-08-01,7,94
2014-09-01,5,80
2014-10-01,5,81
2014-11-01,7,78
2014-12-01,5,77
2015-01-01,5,77
2015-02-01,6,78
2015-03-01,4,70
2015-04-01,4,71
2015-05-01,4,74
2015-06-01,5,84
2015-07-01,4,83
2015-08-01,5,87
2015-09-01,5,76
2015-10-01,6,77
2015-11-01,3,73
2015-12-01,6,75
2016-01-01,5,93
2016-02-01,6,79
2016-03-01,5,72
2016-04-01,3,75
2016-05-01,5,73
2016-06-01,4,77
2016-07-01,4,100
2016-08-01,5,95
2016-09-01,5,86
2016-10-01,5,87
2016-11-01,6,81
2016-12-01,7,92
2017-01-01,6,96
