date,remove Google account,how to delete a google account
2011-01-01,9,6
2011-02-01,11,5
2011-03-01,9,6
2011-04-01,11,6
2011-05-01,11,9
2011-06-01,12,9
2011-07-01,14,12
2011-08-01,13,10
2011-09-01,16,12
2011-10-01,15,11
2011-11-01,16,10
2011-12-01,18,11
2012-01-01,15,11
2012-02-01,18,10
2012-03-01,19,9
2012-04-01,18,10
2012-05-01,18,9
2012-06-01,21,10
2012-07-01,21,10
2012-08-01,24,13
2012-09-01,23,12
2012-10-01,21,10
2012-11-01,20,9
2012-12-01,28,12
2013-01-01,24,11
2013-02-01,27,12
2013-03-01,25,14
2013-04-01,25,12
2013-05-01,26,13
2013-06-01,29,15
2013-07-01,32,15
2013-08-01,34,17
2013-09-01,32,14
2013-10-01,33,16
2013-11-01,35,17
2013-12-01,40,16
2014-01-01,42,19
2014-02-01,39,17
2014-03-01,40,19
2014-04-01,38,16
2014-05-01,39,16
2014-06-01,41,16
2014-07-01,43,19
2014-08-01,44,19
2014-09-01,45,17
2014-10-01,41,17
2014-11-01,43,16
2014-12-01,47,17
2015-01-01,47,16
2015-02-01,44,15
2015-03-01,44,15
2015-04-01,45,16
2015-05-01,50,15
2015-06-01,51,16
2015-07-01,52,19
2015-08-01,57,17
2015-09-01,60,16
2015-10-01,59,16
2015-11-01,57,15
2015-12-01,62,17
2016-01-01,69,19
2016-02-01,66,16
2016-03-01,68,16
2016-04-01,71,15
2016-05-01,73,16
2016-06-01,80,16
2016-07-01,97,22
2016-08-01,100,20
2016-09-01,95,17
2016-10-01,94,19
2016-11-01,94,16
2016-12-01,100,19
2017-01-01,97,19
