date,Cancel youtube account,how to delete a youtube account
2011-01-01,7,31
2011-02-01,11,36
2011-03-01,8,41
2011-04-01,12,33
2011-05-01,8,33
2011-06-01,12,43
2011-07-01,13,54
2011-08-01,18,51
2011-09-01,16,59
2011-10-01,13,50
2011-11-01,15,61
2011-12-01,14,65
2012-01-01,14,63
2012-02-01,10,51
2012-03-01,10,51
2012-04-01,11,65
2012-05-01,14,58
2012-06-01,13,71
2012-07-01,13,81
2012-08-01,11,81
2012-09-01,14,55
2012-10-01,12,52
2012-11-01,12,64
2012-12-01,16,62
2013-01-01,11,76
2013-02-01,13,77
2013-03-01,12,65
2013-04-01,14,67
2013-05-01,13,63
2013-06-01,11,75
2013-07-01,13,87
2013-08-01,13,100
2013-09-01,10,68
2013-10-01,10,57
2013-11-01,11,51
2013-12-01,9,64
2014-01-01,10,73
2014-02-01,8,55
2014-03-01,10,58
2014-04-01,11,56
2014-05-01,8,54
2014-06-01,10,57
2014-07-01,7,72
2014-08-01,9,65
2014-09-01,8,47
2014-10-01,9,48
2014-11-01,7,49
2014-12-01,9,54
2015-01-01,7,58
2015-02-01,7,42
2015-03-01,7,49
2015-04-01,6,48
2015-05-01,8,54
2015-06-01,6,49
2015-07-01,6,50
2015-08-01,8,48
2015-09-01,6,38
2015-10-01,8,37
2015-11-01,6,38
2015-12-01,7,42
2016-01-01,8,49
2016-02-01,7,42
2016-03-01,8,39
2016-04-01,7,41
2016-05-01,8,39
2016-06-01,7,45
2016-07-01,10,47
2016-08-01,10,43
2016-09-01,8,34
2016-10-01,8,34
2016-11-01,8,36
2016-12-01,10,44
2017-01-01,11,41
