date,delete facebook account,how to delete a facebook account
2011-01-01,87,10
2011-02-01,67,7
2011-03-01,51,7
2011-04-01,55,7
2011-05-01,56,7
2011-06-01,61,8
2011-07-01,68,9
2011-08-01,87,10
2011-09-01,89,10
2011-10-01,89,11
2011-11-01,100,12
2011-12-01,97,12
2012-01-01,97,12
2012-02-01,100,12
2012-03-01,96,12
2012-04-01,82,8
2012-05-01,81,8
2012-06-01,77,9
2012-07-01,76,12
2012-08-01,71,11
2012-09-01,70,9
2012-10-01,67,7
2012-11-01,68,10
2012-12-01,70,11
2013-01-01,68,9
2013-02-01,68,8
2013-03-01,68,9
2013-04-01,64,9
2013-05-01,59,7
2013-06-01,62,7
2013-07-01,69,9
2013-08-01,67,9
2013-09-01,57,6
2013-10-01,56,7
2013-11-01,59,7
2013-12-01,67,9
2014-01-01,64,8
2014-02-01,56,6
2014-03-01,58,6
2014-04-01,64,7
2014-05-01,63,8
2014-06-01,61,7
2014-07-01,63,7
2014-08-01,67,7
2014-09-01,63,8
2014-10-01,59,7
2014-11-01,59,7
2014-12-01,62,7
2015-01-01,64,8
2015-02-01,60,7
2015-03-01,59,7
2015-04-01,59,8
2015-05-01,59,7
2015-06-01,60,6
2015-07-01,65,8
2015-08-01,67,9
2015-09-01,62,7
2015-10-01,54,6
2015-11-01,55,6
2015-12-01,58,6
2016-01-01,65,8
2016-02-01,63,7
2016-03-01,59,6
2016-04-01,58,6
2016-05-01,59,6
2016-06-01,74,9
2016-07-01,78,9
2016-08-01,66,7
2016-09-01,68,7
2016-10-01,71,7
2016-11-01,82,9
2016-12-01,71,8
2017-01-01,73,8
