date,how to delete a facebook account
2011-01-01,75
2011-02-01,62
2011-03-01,54
2011-04-01,53
2011-05-01,57
2011-06-01,61
2011-07-01,70
2011-08-01,81
2011-09-01,81
2011-10-01,88
2011-11-01,100
2011-12-01,87
2012-01-01,89
2012-02-01,92
2012-03-01,85
2012-04-01,66
2012-05-01,64
2012-06-01,69
2012-07-01,89
2012-08-01,87
2012-09-01,66
2012-10-01,56
2012-11-01,76
2012-12-01,78
2013-01-01,69
2013-02-01,65
2013-03-01,66
2013-04-01,73
2013-05-01,53
2013-06-01,59
2013-07-01,71
2013-08-01,69
2013-09-01,49
2013-10-01,54
2013-11-01,54
2013-12-01,69
2014-01-01,59
2014-02-01,49
2014-03-01,48
2014-04-01,59
2014-05-01,60
2014-06-01,53
2014-07-01,57
2014-08-01,57
2014-09-01,58
2014-10-01,52
2014-11-01,52
2014-12-01,56
2015-01-01,57
2015-02-01,54
2015-03-01,58
2015-04-01,69
2015-05-01,53
2015-06-01,49
2015-07-01,62
2015-08-01,66
2015-09-01,55
2015-10-01,46
2015-11-01,43
2015-12-01,50
2016-01-01,61
2016-02-01,61
2016-03-01,49
2016-04-01,50
2016-05-01,51
2016-06-01,71
2016-07-01,68
2016-08-01,54
2016-09-01,54
2016-10-01,55
2016-11-01,69
2016-12-01,60
2017-01-01,61
