date,private search,most private browser
2011-01-01,87,1
2011-02-01,79,1
2011-03-01,82,1
2011-04-01,76,0
2011-05-01,74,1
2011-06-01,81,1
2011-07-01,76,0
2011-08-01,80,0
2011-09-01,79,0
2011-10-01,78,1
2011-11-01,71,0
2011-12-01,68,1
2012-01-01,82,1
2012-02-01,81,1
2012-03-01,86,1
2012-04-01,80,1
2012-05-01,79,0
2012-06-01,74,0
2012-07-01,77,1
2012-08-01,82,1
2012-09-01,82,1
2012-10-01,73,1
2012-11-01,71,0
2012-12-01,76,1
2013-01-01,81,0
2013-02-01,76,1
2013-03-01,77,1
2013-04-01,81,1
2013-05-01,75,1
2013-06-01,90,1
2013-07-01,94,1
2013-08-01,90,1
2013-09-01,86,1
2013-10-01,86,1
2013-11-01,87,1
2013-12-01,85,1
2014-01-01,98,0
2014-02-01,90,1
2014-03-01,95,1
2014-04-01,88,1
2014-05-01,86,1
2014-06-01,89,1
2014-07-01,96,1
2014-08-01,93,1
2014-09-01,95,2
2014-10-01,93,1
2014-11-01,86,1
2014-12-01,89,1
2015-01-01,93,1
2015-02-01,93,1
2015-03-01,88,1
2015-04-01,88,1
2015-05-01,88,1
2015-06-01,93,1
2015-07-01,95,1
2015-08-01,100,1
2015-09-01,93,1
2015-10-01,89,1
2015-11-01,90,1
2015-12-01,90,1
2016-01-01,100,1
2016-02-01,94,1
2016-03-01,98,1
2016-04-01,94,1
2016-05-01,95,1
2016-06-01,97,1
2016-07-01,98,1
2016-08-01,97,1
2016-09-01,95,1
2016-10-01,94,1
2016-11-01,94,1
2016-12-01,89,1
2017-01-01,99,2
