date,spying on you,how to encrypt whatsapp messages
2011-01-01,18,0
2011-02-01,21,0
2011-03-01,21,0
2011-04-01,27,0
2011-05-01,25,0
2011-06-01,20,0
2011-07-01,20,0
2011-08-01,18,0
2011-09-01,27,0
2011-10-01,23,0
2011-11-01,25,0
2011-12-01,39,0
2012-01-01,26,0
2012-02-01,26,0
2012-03-01,29,0
2012-04-01,29,0
2012-05-01,24,0
2012-06-01,26,1
2012-07-01,25,0
2012-08-01,23,0
2012-09-01,26,2
2012-10-01,28,0
2012-11-01,23,0
2012-12-01,27,1
2013-01-01,30,0
2013-02-01,30,0
2013-03-01,31,1
2013-04-01,44,0
2013-05-01,44,1
2013-06-01,100,1
2013-07-01,62,1
2013-08-01,48,1
2013-09-01,41,1
2013-10-01,52,1
2013-11-01,63,1
2013-12-01,56,1
2014-01-01,51,1
2014-02-01,51,1
2014-03-01,45,1
2014-04-01,36,1
2014-05-01,36,1
2014-06-01,41,1
2014-07-01,39,1
2014-08-01,51,1
2014-09-01,42,1
2014-10-01,37,1
2014-11-01,42,2
2014-12-01,38,1
2015-01-01,40,1
2015-02-01,81,1
2015-03-01,46,1
2015-04-01,47,1
2015-05-01,41,1
2015-06-01,44,1
2015-07-01,44,1
2015-08-01,75,1
2015-09-01,68,1
2015-10-01,52,1
2015-11-01,49,1
2015-12-01,52,1
2016-01-01,43,1
2016-02-01,48,0
2016-03-01,45,1
2016-04-01,41,12
2016-05-01,42,2
2016-06-01,42,3
2016-07-01,47,3
2016-08-01,45,1
2016-09-01,48,1
2016-10-01,42,2
2016-11-01,53,1
2016-12-01,45,2
2017-01-01,52,1
