date,encrypt emails,encrypting emails,how to encrypt emails
2011-01-01,83,31,35
2011-02-01,126,52,59
2011-03-01,113,73,46
2011-04-01,162,49,42
2011-05-01,132,30,53
2011-06-01,115,48,54
2011-07-01,143,67,47
2011-08-01,122,64,64
2011-09-01,137,31,44
2011-10-01,124,53,64
2011-11-01,107,59,41
2011-12-01,77,26,62
2012-01-01,81,54,43
2012-02-01,113,34,45
2012-03-01,173,55,39
2012-04-01,149,58,93
2012-05-01,128,46,66
2012-06-01,111,48,40
2012-07-01,141,37,63
2012-08-01,145,31,36
2012-09-01,109,41,62
2012-10-01,118,51,37
2012-11-01,137,33,52
2012-12-01,94,35,80
2013-01-01,90,77,34
2013-02-01,203,75,66
2013-03-01,160,50,55
2013-04-01,111,26,55
2013-05-01,132,33,58
2013-06-01,111,56,51
2013-07-01,190,50,92
2013-08-01,213,50,67
2013-09-01,147,45,61
2013-10-01,118,23,62
2013-11-01,126,43,78
2013-12-01,96,44,41
2014-01-01,166,37,59
2014-02-01,113,44,32
2014-03-01,152,69,83
2014-04-01,118,41,37
2014-05-01,147,57,79
2014-06-01,105,29,59
2014-07-01,143,33,57
2014-08-01,179,28,45
2014-09-01,162,31,55
2014-10-01,130,52,26
2014-11-01,213,30,72
2014-12-01,132,19,49
2015-01-01,120,35,46
2015-02-01,147,34,42
2015-03-01,100,47,28
2015-04-01,149,39,92
2015-05-01,128,68,62
2015-06-01,135,28,67
2015-07-01,130,38,73
2015-08-01,124,34,45
2015-09-01,143,41,54
2015-10-01,171,26,67
2015-11-01,105,52,42
2015-12-01,156,43,50
2016-01-01,132,38,69
2016-02-01,160,56,87
2016-03-01,188,47,73
2016-04-01,164,52,100
2016-05-01,141,35,82
2016-06-01,166,52,42
2016-07-01,132,18,67
2016-08-01,156,33,83
2016-09-01,173,38,62
2016-10-01,156,31,65
2016-11-01,203,43,77
2016-12-01,147,26,62
2017-01-01,173,54,94
