date,how to go incognito on mac
2011-01-01,0
2011-02-01,0
2011-03-01,0
2011-04-01,0
2011-05-01,0
2011-06-01,19
2011-07-01,8
2011-08-01,8
2011-09-01,8
2011-10-01,8
2011-11-01,8
2011-12-01,8
2012-01-01,7
2012-02-01,7
2012-03-01,7
2012-04-01,7
2012-05-01,7
2012-06-01,7
2012-07-01,7
2012-08-01,11
2012-09-01,14
2012-10-01,6
2012-11-01,10
2012-12-01,7
2013-01-01,6
2013-02-01,26
2013-03-01,12
2013-04-01,12
2013-05-01,20
2013-06-01,12
2013-07-01,23
2013-08-01,23
2013-09-01,14
2013-10-01,13
2013-11-01,8
2013-12-01,22
2014-01-01,18
2014-02-01,17
2014-03-01,17
2014-04-01,8
2014-05-01,18
2014-06-01,17
2014-07-01,14
2014-08-01,31
2014-09-01,38
2014-10-01,23
2014-11-01,40
2014-12-01,37
2015-01-01,34
2015-02-01,42
2015-03-01,46
2015-04-01,25
2015-05-01,19
2015-06-01,51
2015-07-01,58
2015-08-01,57
2015-09-01,68
2015-10-01,49
2015-11-01,36
2015-12-01,51
2016-01-01,45
2016-02-01,39
2016-03-01,43
2016-04-01,50
2016-05-01,86
2016-06-01,67
2016-07-01,57
2016-08-01,95
2016-09-01,96
2016-10-01,80
2016-11-01,100
2016-12-01,67
2017-01-01,87
