date,close instagram,delete ig account,deleting instagram account,get rid of instagram,how can I delete my instagram account,How do i delete Instagram account,how to delete a instagram account,how to delete account on instagram,How to delete my Instagram account,How to permanently delete Instagram,How to remove Instagram account,Instagram account cancel
2011-01-01,0,0,0,0,0,1,0,0,0,0,0,0
2011-02-01,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-01,2,0,1,0,0,0,0,0,0,0,0,1
2011-04-01,0,0,0,3,0,3,0,0,2,0,0,0
2011-05-01,2,0,0,3,0,1,0,0,2,0,0,0
2011-06-01,2,0,1,3,0,0,1,0,0,0,1,1
2011-07-01,2,0,0,3,0,1,1,0,2,0,1,1
2011-08-01,2,1,1,3,1,3,0,0,2,0,0,0
2011-09-01,4,0,0,5,0,1,0,2,2,2,1,2
2011-10-01,4,0,1,3,0,2,1,3,2,0,0,1
2011-11-01,4,0,2,3,0,2,3,3,5,0,1,2
2011-12-01,4,1,2,5,0,5,2,5,3,0,1,3
2012-01-01,8,0,2,7,2,4,2,6,3,2,2,3
2012-02-01,8,1,2,11,1,3,4,6,4,2,1,2
2012-03-01,12,0,3,11,1,6,3,7,3,0,2,2
2012-04-01,35,0,5,25,3,21,11,19,9,2,4,10
2012-05-01,27,1,6,33,2,14,12,17,10,2,2,5
2012-06-01,41,0,7,37,6,17,11,25,7,2,5,10
2012-07-01,37,2,12,43,5,17,17,28,10,3,4,7
2012-08-01,39,1,9,52,3,13,25,34,17,5,7,7
2012-09-01,33,3,8,41,3,13,21,34,10,2,4,6
2012-10-01,33,1,6,54,3,28,17,39,19,5,5,6
2012-11-01,43,2,4,58,5,25,16,34,14,3,3,7
2012-12-01,81,3,21,64,10,42,29,63,34,6,7,27
2013-01-01,62,2,16,60,12,51,39,59,46,5,7,16
2013-02-01,52,2,14,74,10,55,40,69,31,5,6,12
2013-03-01,56,2,13,76,4,32,30,64,25,6,6,11
2013-04-01,64,3,15,92,3,27,33,50,26,9,6,9
2013-05-01,70,11,41,100,3,28,37,60,26,6,6,14
2013-06-01,83,6,17,113,9,58,46,75,31,6,5,13
2013-07-01,116,6,16,127,10,42,41,77,20,5,8,11
2013-08-01,141,8,17,111,11,30,48,66,35,8,11,15
2013-09-01,129,7,10,103,10,20,34,48,31,6,8,13
2013-10-01,110,5,13,80,6,41,31,52,24,6,5,11
2013-11-01,99,4,13,90,3,41,28,48,18,6,6,8
2013-12-01,91,6,16,96,8,27,41,64,28,9,8,8
2014-01-01,104,5,17,107,8,23,47,59,34,8,9,8
2014-02-01,100,7,13,90,9,31,40,52,31,8,9,12
2014-03-01,104,9,32,105,5,50,41,66,33,5,9,10
2014-04-01,112,8,21,115,8,48,42,55,29,8,10,10
2014-05-01,102,10,14,107,6,23,44,49,25,9,9,9
2014-06-01,95,8,19,121,6,26,46,62,33,9,12,14
2014-07-01,120,10,19,137,6,46,53,63,30,11,10,13
2014-08-01,131,11,16,115,6,43,52,62,30,8,12,9
2014-09-01,99,10,16,117,5,37,41,52,25,9,11,8
2014-10-01,120,9,16,125,8,23,44,48,24,9,10,8
2014-11-01,108,9,21,109,10,26,48,64,30,9,12,12
2014-12-01,108,14,64,127,11,43,62,71,31,9,11,9
2015-01-01,118,13,26,121,10,49,69,73,36,14,12,9
2015-02-01,120,9,24,111,11,27,53,59,36,9,10,8
2015-03-01,118,15,23,105,9,23,53,57,26,11,14,10
2015-04-01,106,15,18,109,8,29,64,73,39,11,15,13
2015-05-01,122,14,25,109,11,41,55,67,44,14,14,15
2015-06-01,112,19,28,121,10,42,56,80,42,17,17,16
2015-07-01,141,21,35,141,14,41,91,94,60,39,15,11
2015-08-01,145,17,35,125,11,52,79,98,65,48,18,10
2015-09-01,139,20,29,119,16,64,68,80,68,44,16,13
2015-10-01,137,18,30,115,11,56,65,82,62,45,16,17
2015-11-01,129,15,25,117,15,36,58,75,62,44,19,15
2015-12-01,141,17,22,139,11,41,73,89,60,59,24,11
2016-01-01,149,18,28,147,13,48,78,96,65,60,22,14
2016-02-01,145,18,30,125,15,71,75,94,55,60,22,16
2016-03-01,158,20,40,145,12,60,82,107,65,75,23,17
2016-04-01,164,18,30,147,9,39,68,100,86,78,28,16
2016-05-01,149,23,30,141,12,43,74,95,77,83,29,17
2016-06-01,164,24,32,147,22,71,91,117,98,74,30,13
2016-07-01,193,23,51,149,21,81,100,127,100,78,33,20
2016-08-01,189,23,35,158,20,62,80,125,82,102,35,16
2016-09-01,177,26,26,141,17,43,68,96,78,89,36,13
2016-10-01,154,25,25,154,19,64,76,112,80,78,42,14
2016-11-01,175,25,40,205,26,71,88,125,93,81,45,15
2016-12-01,177,33,48,188,20,68,98,137,107,127,50,21
2017-01-01,187,36,47,192,19,70,99,139,124,150,54,15
