date,Instagram security,hide instagram from government
2011-01-01,1,0
2011-02-01,0,0
2011-03-01,2,0
2011-04-01,0,0
2011-05-01,1,0
2011-06-01,1,0
2011-07-01,1,0
2011-08-01,1,0
2011-09-01,2,0
2011-10-01,3,0
2011-11-01,3,0
2011-12-01,3,0
2012-01-01,8,0
2012-02-01,9,0
2012-03-01,9,0
2012-04-01,18,0
2012-05-01,13,0
2012-06-01,16,0
2012-07-01,16,0
2012-08-01,22,0
2012-09-01,17,0
2012-10-01,18,0
2012-11-01,23,0
2012-12-01,27,0
2013-01-01,28,0
2013-02-01,24,0
2013-03-01,29,0
2013-04-01,30,0
2013-05-01,33,0
2013-06-01,30,0
2013-07-01,41,0
2013-08-01,39,0
2013-09-01,43,0
2013-10-01,40,0
2013-11-01,43,0
2013-12-01,62,0
2014-01-01,46,0
2014-02-01,52,0
2014-03-01,61,0
2014-04-01,53,0
2014-05-01,68,0
2014-06-01,75,0
2014-07-01,81,0
2014-08-01,77,0
2014-09-01,60,0
2014-10-01,51,0
2014-11-01,75,0
2014-12-01,88,0
2015-01-01,73,0
2015-02-01,69,0
2015-03-01,76,0
2015-04-01,89,0
2015-05-01,80,0
2015-06-01,84,0
2015-07-01,100,0
2015-08-01,71,0
2015-09-01,75,0
2015-10-01,69,0
2015-11-01,60,0
2015-12-01,64,0
2016-01-01,65,0
2016-02-01,62,0
2016-03-01,76,0
2016-04-01,73,0
2016-05-01,80,0
2016-06-01,84,0
2016-07-01,80,0
2016-08-01,80,0
2016-09-01,75,0
2016-10-01,77,0
2016-11-01,71,0
2016-12-01,76,0
2017-01-01,90,0
