date,delete YouTube,how to delete youtube
2011-01-01,53,29
2011-02-01,47,27
2011-03-01,51,30
2011-04-01,51,31
2011-05-01,52,30
2011-06-01,72,41
2011-07-01,81,46
2011-08-01,74,47
2011-09-01,69,42
2011-10-01,72,41
2011-11-01,71,42
2011-12-01,96,61
2012-01-01,89,54
2012-02-01,77,47
2012-03-01,75,45
2012-04-01,75,48
2012-05-01,74,45
2012-06-01,79,48
2012-07-01,83,55
2012-08-01,82,53
2012-09-01,83,49
2012-10-01,82,49
2012-11-01,83,51
2012-12-01,97,60
2013-01-01,92,59
2013-02-01,90,57
2013-03-01,90,55
2013-04-01,89,55
2013-05-01,88,55
2013-06-01,89,55
2013-07-01,94,60
2013-08-01,100,64
2013-09-01,87,55
2013-10-01,82,50
2013-11-01,84,51
2013-12-01,88,53
2014-01-01,92,56
2014-02-01,84,53
2014-03-01,86,53
2014-04-01,85,52
2014-05-01,81,51
2014-06-01,84,52
2014-07-01,95,61
2014-08-01,97,62
2014-09-01,90,57
2014-10-01,86,54
2014-11-01,86,56
2014-12-01,89,57
2015-01-01,89,57
2015-02-01,82,51
2015-03-01,77,50
2015-04-01,82,52
2015-05-01,81,50
2015-06-01,82,52
2015-07-01,86,56
2015-08-01,88,55
2015-09-01,78,49
2015-10-01,77,47
2015-11-01,74,45
2015-12-01,83,50
2016-01-01,82,50
2016-02-01,72,46
2016-03-01,73,44
2016-04-01,72,43
2016-05-01,72,44
2016-06-01,74,46
2016-07-01,79,48
2016-08-01,77,47
2016-09-01,74,45
2016-10-01,72,45
2016-11-01,72,44
2016-12-01,80,49
2017-01-01,82,51
