date,privacy settings on twitter
2011-01-01,4
2011-02-01,9
2011-03-01,4
2011-04-01,5
2011-05-01,11
2011-06-01,19
2011-07-01,19
2011-08-01,21
2011-09-01,10
2011-10-01,25
2011-11-01,26
2011-12-01,16
2012-01-01,18
2012-02-01,16
2012-03-01,25
2012-04-01,19
2012-05-01,13
2012-06-01,31
2012-07-01,34
2012-08-01,27
2012-09-01,93
2012-10-01,100
2012-11-01,75
2012-12-01,76
2013-01-01,69
2013-02-01,52
2013-03-01,55
2013-04-01,52
2013-05-01,56
2013-06-01,47
2013-07-01,49
2013-08-01,47
2013-09-01,47
2013-10-01,27
2013-11-01,28
2013-12-01,44
2014-01-01,38
2014-02-01,37
2014-03-01,44
2014-04-01,40
2014-05-01,33
2014-06-01,22
2014-07-01,41
2014-08-01,40
2014-09-01,28
2014-10-01,23
2014-11-01,37
2014-12-01,27
2015-01-01,32
2015-02-01,20
2015-03-01,17
2015-04-01,12
2015-05-01,14
2015-06-01,13
2015-07-01,13
2015-08-01,12
2015-09-01,11
2015-10-01,13
2015-11-01,13
2015-12-01,13
2016-01-01,12
2016-02-01,11
2016-03-01,13
2016-04-01,9
2016-05-01,7
2016-06-01,5
2016-07-01,8
2016-08-01,3
2016-09-01,3
2016-10-01,6
2016-11-01,11
2016-12-01,6
2017-01-01,5
