date,I want to delete my google account,how to delete a google account
2011-01-01,1,34
2011-02-01,2,29
2011-03-01,0,32
2011-04-01,1,32
2011-05-01,4,34
2011-06-01,1,44
2011-07-01,3,59
2011-08-01,2,54
2011-09-01,2,58
2011-10-01,4,51
2011-11-01,3,53
2011-12-01,2,50
2012-01-01,1,54
2012-02-01,2,41
2012-03-01,2,38
2012-04-01,3,47
2012-05-01,4,44
2012-06-01,1,53
2012-07-01,3,51
2012-08-01,3,65
2012-09-01,2,54
2012-10-01,4,46
2012-11-01,3,44
2012-12-01,1,60
2013-01-01,2,56
2013-02-01,3,55
2013-03-01,2,57
2013-04-01,4,57
2013-05-01,3,69
2013-06-01,4,66
2013-07-01,6,72
2013-08-01,2,79
2013-09-01,3,66
2013-10-01,3,76
2013-11-01,2,72
2013-12-01,3,80
2014-01-01,4,99
2014-02-01,3,88
2014-03-01,5,85
2014-04-01,4,76
2014-05-01,4,85
2014-06-01,5,73
2014-07-01,5,93
2014-08-01,4,82
2014-09-01,3,82
2014-10-01,3,77
2014-11-01,3,82
2014-12-01,4,77
2015-01-01,3,79
2015-02-01,4,70
2015-03-01,3,78
2015-04-01,3,68
2015-05-01,4,80
2015-06-01,5,80
2015-07-01,4,87
2015-08-01,3,87
2015-09-01,5,78
2015-10-01,3,76
2015-11-01,4,67
2015-12-01,5,79
2016-01-01,5,89
2016-02-01,4,76
2016-03-01,4,72
2016-04-01,4,75
2016-05-01,4,75
2016-06-01,4,85
2016-07-01,5,100
2016-08-01,5,96
2016-09-01,5,89
2016-10-01,6,83
2016-11-01,2,79
2016-12-01,4,96
2017-01-01,5,92
