date,facebook download
2011-01-01,65
2011-02-01,67
2011-03-01,64
2011-04-01,69
2011-05-01,66
2011-06-01,74
2011-07-01,82
2011-08-01,86
2011-09-01,85
2011-10-01,84
2011-11-01,81
2011-12-01,91
2012-01-01,87
2012-02-01,87
2012-03-01,87
2012-04-01,84
2012-05-01,82
2012-06-01,83
2012-07-01,83
2012-08-01,85
2012-09-01,82
2012-10-01,94
2012-11-01,94
2012-12-01,100
2013-01-01,92
2013-02-01,94
2013-03-01,95
2013-04-01,93
2013-05-01,91
2013-06-01,94
2013-07-01,98
2013-08-01,95
2013-09-01,91
2013-10-01,89
2013-11-01,88
2013-12-01,90
2014-01-01,85
2014-02-01,84
2014-03-01,84
2014-04-01,82
2014-05-01,78
2014-06-01,83
2014-07-01,87
2014-08-01,92
2014-09-01,82
2014-10-01,85
2014-11-01,83
2014-12-01,84
2015-01-01,80
2015-02-01,72
2015-03-01,69
2015-04-01,68
2015-05-01,67
2015-06-01,66
2015-07-01,67
2015-08-01,66
2015-09-01,64
2015-10-01,62
2015-11-01,59
2015-12-01,61
2016-01-01,59
2016-02-01,55
2016-03-01,55
2016-04-01,53
2016-05-01,53
2016-06-01,53
2016-07-01,55
2016-08-01,53
2016-09-01,50
2016-10-01,50
2016-11-01,48
2016-12-01,49
2017-01-01,46
